NAME,SCORE,TIME
RAV,5000,50
MATI,20,5000
WOTI01,5000,300
aaa,127,23
aaa,127,23
asddsas ,0,3
asd ,0,4
asd ,0,4
asd,0,2
asd,0,2
asdasd,160,28
Marta,380,45
asd,100,22
a,0,1
asd,0,2
ASDWDASDAS,0,2
awda,160,27
Marta,1560,50
jar,660,194
asdf,0,2
kkkk,0,2
Marta,2220,79
asdwaasdwazxcwad
,0,2
asdaw,0,2
asdasczxc



,0,2
asd,0,2
Aasd,0,2
rasdfasd,420,15
qwedas,180,29
qasd,20,4
asd,160,29
aaa,1500,33
awe ,0,2
,0,2
a ,60,5
a ,0,2
a,480,28
a,0,2
s ,300,18
s ,0,4
asd ,0,4
asd ,20,7
